executed_at,agent,symbol,side,quantity,price,pnl,order_status
2026-03-23 14:00:07,Story Seeker,CCL,sell,5.00000000,28.5500,0.00,filled
2026-03-23 14:15:09,My Strategy,UGRO,buy,27.00000000,3.6801,0.00,filled
2026-03-23 14:15:11,Story Seeker,RRR,buy,2.00000000,61.2700,0.00,filled
2026-03-23 14:30:08,Pure Alpha,MGRX,buy,250.00000000,0.3986,0.00,filled
2026-03-23 15:00:11,My Strategy,SOXL,buy,1.00000000,55.9100,0.00,filled
2026-03-23 16:00:14,Pure Alpha,UGRO,buy,31.00000000,3.1450,0.00,filled
2026-03-24 14:15:03,Story Seeker,XPRO,buy,9.00000000,15.9200,0.00,filled
2026-03-24 14:30:06,Story Seeker,UAL,buy,1.00000000,107.7600,0.00,filled
2026-03-25 18:45:08,Pure Alpha,INTC,buy,2.00000000,47.2550,0.00,filled
2026-03-25 19:15:09,Story Seeker,DKNG,sell,4.00000000,30.1100,0.00,filled
2026-03-26 15:15:05,Story Seeker,DKNG,buy,4.00000000,30.1100,0.00,filled
2026-03-26 19:00:08,Story Seeker,GLXY,sell,4.00000000,33.1800,0.00,filled
2026-03-27 14:00:31,Story Seeker,BLNK,sell,178.00000000,0.8412,0.00,filled
2026-03-27 14:00:32,Story Seeker,BLNK,buy,178.00000000,0.8412,0.00,synthetic-seal
2026-03-27 14:30:08,Story Seeker,ARTL,sell,82.00000000,1.8200,0.00,filled
2026-03-27 14:30:09,Story Seeker,ARTL,buy,82.00000000,1.8200,0.00,synthetic-seal
2026-03-30 15:15:03,Story Seeker,CCL,buy,5.00000000,30.0200,-7.35,filled
2026-03-30 18:15:03,Story Seeker,JBLU,sell,30.00000000,4.8700,0.00,filled
2026-03-30 18:15:04,Story Seeker,JBLU,buy,30.00000000,4.8700,0.00,synthetic-seal
2026-04-01 17:00:03,Story Seeker,NKE,sell,2.00000000,60.9300,0.00,filled
2026-04-01 20:30:04,Story Seeker,SNBR,sell,12.00000000,11.8100,0.00,filled
2026-04-01 20:30:05,Story Seeker,SNBR,buy,12.00000000,11.8100,0.00,synthetic-seal
2026-04-02 16:00:06,Story Seeker,NFLX,sell,1.00000000,79.9400,0.00,filled
2026-04-02 16:45:04,Story Seeker,DKNG,sell,5.00000000,26.7600,-16.75,filled
2026-04-06 14:45:03,Story Seeker,LCID,sell,13.00000000,10.8600,0.00,filled
2026-04-06 18:00:05,Story Seeker,GSAT,sell,2.00000000,57.6500,0.00,filled
2026-04-06 18:00:06,Story Seeker,GSAT,buy,2.00000000,57.6500,0.00,synthetic-seal
2026-04-07 14:15:14,Story Seeker,CETX,sell,117.00000000,1.2750,0.00,filled
2026-04-07 14:15:15,Story Seeker,CETX,buy,117.00000000,1.2750,0.00,synthetic-seal
2026-04-07 15:15:25,Story Seeker,USO,sell,1.00000000,78.0200,0.00,filled
2026-04-09 17:30:03,Story Seeker,SPIR,sell,14.00000000,10.1900,0.00,filled
2026-04-09 17:30:04,Story Seeker,SPIR,buy,14.00000000,10.1900,0.00,synthetic-seal
2026-04-09 18:45:03,Story Seeker,GLXY,buy,4.00000000,21.1900,47.96,filled
2026-04-10 16:15:03,Story Seeker,ANGX,sell,40.00000000,3.7500,0.00,filled
2026-04-10 16:15:04,Story Seeker,ANGX,buy,40.00000000,3.7500,0.00,synthetic-seal
2026-04-10 20:30:08,Surge Bot,NOW,sell,1.00000000,83.0000,0.00,filled
2026-04-13 14:00:52,Story Seeker,REPL,sell,18.00000000,7.9700,0.00,filled
2026-04-13 14:00:53,Story Seeker,REPL,buy,18.00000000,7.9700,0.00,synthetic-seal
2026-04-14 14:00:41,Story Seeker,SHEL,sell,1.00000000,77.9400,0.00,filled
